"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.324140802E2,1.231299542E1,7.664483561E1,7.658160276E2,6.777459717E2,0.000000000E0,0.000000000E0,4.819364135E-1,9.935046196E0,3.328006983E0,2.500000000E1
1.334120645E2,1.231299542E1,7.664483559E1,7.658122434E2,6.777421875E2,0.000000000E0,0.000000000E0,4.819395226E-1,9.935046196E0,3.276347876E0,2.500000000E1
1.344163688E2,1.231299540E1,7.664483561E1,7.658182250E2,6.777481689E2,0.000000000E0,0.000000000E0,4.819588097E-1,9.935046196E0,3.154059887E0,2.500000000E1
1.354071359E2,1.231299535E1,7.664483578E1,7.658467897E2,6.777767334E2,0.000000000E0,0.000000000E0,4.820044993E-1,9.935046196E0,3.138778448E0,2.400000000E1
1.364147188E2,1.231299573E1,7.664483562E1,7.658759629E2,6.778059082E2,0.000000000E0,0.000000000E0,4.820577779E-1,9.935046196E0,3.133692741E0,2.500000000E1
1.374107060E2,1.231299575E1,7.664483611E1,7.659797226E2,6.779096680E2,0.000000000E0,0.000000000E0,4.854350765E-1,9.935046196E0,3.109601021E0,2.700000000E1
1.384186866E2,1.231302581E1,7.664484056E1,7.654805746E2,6.774106445E2,2.579999924E0,8.500000000E0,4.886489598E-1,9.935046196E0,3.061575651E0,2.700000000E1
1.394098477E2,1.231305448E1,7.664484431E1,7.644992545E2,6.764294434E2,2.549999952E0,6.900000095E0,4.921158145E-1,9.935046196E0,2.939755201E0,3.000000000E1
1.404105601E2,1.231308527E1,7.664484933E1,7.643556943E2,6.762860107E2,3.009999990E0,7.500000000E0,4.964264404E-1,9.935046196E0,3.086911201E0,3.000000000E1
1.414081823E2,1.231312294E1,7.664485870E1,7.637041716E2,6.756346436E2,3.619999886E0,1.080000019E1,5.008948480E-1,9.935046196E0,2.996488333E0,3.000000000E1
1.424122128E2,1.231316132E1,7.664487089E1,7.628212011E2,6.747518311E2,3.890000105E0,1.530000019E1,5.057110788E-1,9.935046196E0,2.967799187E0,3.000000000E1
1.434126998E2,1.231320243E1,7.664488485E1,7.633565544E2,6.752873535E2,4.460000038E0,1.639999962E1,5.118721522E-1,9.935046196E0,2.967535257E0,2.900000000E1
1.444149228E2,1.231325639E1,7.664489773E1,7.619842612E2,6.739152832E2,5.409999847E0,1.450000000E1,5.183316472E-1,9.935046196E0,3.321443081E0,2.900000000E1
1.454086459E2,1.231331334E1,7.664490946E1,7.626331956E2,6.745644531E2,6.289999962E0,1.150000000E1,5.246214502E-1,9.935046196E0,3.549249887E0,3.000000000E1
1.464096208E2,1.231336919E1,7.664491864E1,7.618183891E2,6.737498779E2,7.000000000E0,1.119999981E1,5.330045480E-1,9.935046196E0,3.807057619E0,2.700000000E1
1.474094065E2,1.231344279E1,7.664493536E1,7.615679629E2,6.734997559E2,7.440000057E0,1.180000019E1,5.406179518E-1,9.935046196E0,3.618326902E0,2.700000000E1
1.484041395E2,1.231350999E1,7.664494879E1,7.623743255E2,6.743063965E2,7.619999886E0,1.200000000E1,5.486444678E-1,9.935046196E0,3.751455545E0,2.600000000E1
1.494015337E2,1.231358111E1,7.664496143E1,7.624819412E2,6.744143066E2,7.969999790E0,1.139999962E1,5.577476388E-1,9.935046196E0,3.662916183E0,2.700000000E1
1.504104962E2,1.231366095E1,7.664497996E1,7.626630078E2,6.745957031E2,8.409999847E0,1.200000000E1,5.670647266E-1,9.935046196E0,3.477992535E0,2.700000000E1
1.514137909E2,1.231374340E1,7.664499524E1,7.620713579E2,6.740043945E2,9.090000153E0,1.089999962E1,5.773083368E-1,9.935046196E0,3.612033129E0,2.500000000E1
1.524092328E2,1.231383349E1,7.664501494E1,7.633723771E2,6.753057861E2,9.199999809E0,1.039999962E1,5.864519022E-1,9.935046196E0,3.790366411E0,2.700000000E1
