"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.455141038E2,1.232042800E1,7.664517481E1,7.624894423E2,6.744503174E2,6.400000095E0,3.167999878E2,7.403669229E-1,1.070664120E1,4.542273045E0,2.800000000E1
1.465085327E2,1.232047724E1,7.664513350E1,7.633671604E2,6.753282471E2,6.440000057E0,3.161000061E2,7.477613154E-1,1.090766525E1,4.370193481E0,2.800000000E1
1.475057509E2,1.232052703E1,7.664508838E1,7.644246852E2,6.763859863E2,7.099999905E0,3.153999939E2,7.551193250E-1,1.079392719E1,4.061408043E0,3.000000000E1
1.485140684E2,1.232057426E1,7.664504094E1,7.643828551E2,6.763443604E2,6.960000038E0,3.147999878E2,7.616527891E-1,1.073048306E1,3.928540707E0,2.900000000E1
1.495157612E2,1.232061596E1,7.664499857E1,7.637048183E2,6.756665039E2,6.619999886E0,3.147000122E2,7.689973320E-1,1.056402397E1,3.817198992E0,2.700000000E1
1.505136302E2,1.232066605E1,7.664495450E1,7.644201790E2,6.763820801E2,7.079999924E0,3.152999878E2,7.759567170E-1,1.059519196E1,3.885423899E0,2.800000000E1
1.515103640E2,1.232070825E1,7.664490719E1,7.646216560E2,6.765837402E2,6.929999828E0,3.162000122E2,7.836727328E-1,1.054747581E1,3.816427469E0,2.700000000E1
1.525024547E2,1.232075738E1,7.664485703E1,7.649503010E2,6.769125977E2,7.269999981E0,3.157999878E2,7.910693349E-1,1.050366497E1,3.823463202E0,2.800000000E1
1.535140582E2,1.232080765E1,7.664481244E1,7.657917595E2,6.777542725E2,7.260000229E0,3.195000000E2,8.131537447E-1,1.048663425E1,3.783734083E0,2.600000000E1
1.544398408E2,1.232096671E1,7.664469070E1,7.626337293E2,6.745969238E2,7.320000172E0,3.223999939E2,8.204005632E-1,1.019347191E1,3.668447256E0,2.600000000E1
1.554362240E2,1.232101548E1,7.664464645E1,7.621520739E2,6.741154785E2,7.440000057E0,3.210000000E2,8.276782133E-1,9.977560997E0,3.605872631E0,2.700000000E1
1.564384431E2,1.232106468E1,7.664460227E1,7.624405584E2,6.744041748E2,7.039999962E0,3.178999939E2,8.346325479E-1,9.935046196E0,3.568706989E0,2.600000000E1
1.574391730E2,1.232111718E1,7.664456748E1,7.629497337E2,6.749135742E2,7.010000229E0,3.261000061E2,8.418851196E-1,9.935046196E0,3.422650576E0,3.000000000E1
1.584370630E2,1.232116959E1,7.664452774E1,7.626851049E2,6.746491699E2,7.380000114E0,3.228999939E2,8.496627691E-1,9.935046196E0,3.421628952E0,3.000000000E1
1.594317883E2,1.232122232E1,7.664448070E1,7.636643702E2,6.756286621E2,7.219999790E0,3.215000000E2,8.567371787E-1,9.935046196E0,3.306669474E0,2.900000000E1
1.604393556E2,1.232127441E1,7.664444331E1,7.640132685E2,6.759777832E2,7.239999771E0,3.206000061E2,8.657065155E-1,9.935046196E0,3.340859652E0,3.000000000E1
